movie_title,duration,gross,genres,plot_keywords,budget,title_year,imdb_score,aspect_ratio
Alexander,206,34293771,Action|Adventure|Biography|Drama|History|Romance|War,ancient greece|conquest|greek|greek myth|king,155000000,2004,5.5,2.35
Harry Potter and the Order of the Phoenix,138,292000866,Adventure|Family|Fantasy|Mystery,battle|magic|school|teacher|wizard,150000000,2007,7.5,2.35
Harry Potter and the Goblet of Fire,157,289994397,Adventure|Family|Fantasy|Mystery,fire|goblet|magic|tournament|wizard,150000000,2005,7.6,2.35
Hancock,102,227946274,Action|Drama,bully comeuppance|destruction|prison|superhero|tough girl,150000000,2008,6.4,2.35
I Am Legend,104,256386216,Drama|Horror|Sci-Fi,new york city|pandemic|post apocalypse|survivalist|virus,150000000,2007,7.2,2.35
Charlie and the Chocolate Factory,115,206456431,Adventure|Comedy|Family|Fantasy,chocolate|diminution|miniaturization|physical flexability|ticket,150000000,2005,6.7,1.85
Ratatouille,111,206435493,Animation|Comedy|Family|Fantasy,chef|food|french|rat|restaurant,150000000,2007,8,2.35
Batman Begins,128,205343774,Action|Adventure,armored car|gangster|gotham|mixed martial arts|social decay,150000000,2005,8.3,2.35
Madagascar: Escape 2 Africa,89,179982968,Action|Adventure|Animation|Comedy|Family,africa|madagascar|new york city|sequel|zoo,150000000,2008,6.7,1.85
Night at the Museum: Battle of the Smithsonian,105,177243721,Adventure|Comedy|Family|Fantasy,hdtv|motorcycle|museum|security guard|tyrannosaurus rex,150000000,2009,5.9,2.35
X-Men Origins: Wolverine,119,179883016,Action|Adventure|Fantasy|Sci-Fi|Thriller,army|civil war|claw fight|commando|wolverine the character,150000000,2009,6.7,2.35
The Matrix Revolutions,129,139259759,Action|Sci-Fi,battle|epic|fight|future|machine,150000000,2003,6.7,2.35
Frozen,102,400736600,Adventure|Animation|Comedy|Family|Fantasy|Musical,magic|sister love|sister sister relationship|snow|snowman,150000000,2013,7.6,2.24
The Matrix Reloaded,138,281492479,Action|Sci-Fi,car motorcycle chase|one against many|oracle|prophecy|stylized violence,150000000,2003,7.2,2.35
Thor: The Dark World,112,206360018,Action|Adventure|Fantasy,arrest|portal|thor|warrior|weapon,170000000,2013,7.1,2.35
Mad Max: Fury Road,120,153629485,Action|Adventure|Sci-Fi|Thriller,australia|desert|escape|on the run|post apocalypse,150000000,2015,8.1,2.35
Angels & Demons,146,133375846,Mystery|Thriller,conclave|illuminati|murder|reference to bernini|reference to raphael,150000000,2009,6.7,2.35
Thor,115,181015141,Action|Adventure|Fantasy,battle|marvel cinematic universe|scientist|thor|throne,150000000,2011,7,2.35
Bolt,96,114053579,Adventure|Animation|Comedy|Drama|Family,cat|dog|hamster|new york city|superpower,150000000,2008,6.9,1.85
G-Force,88,119420252,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,fbi director|guinea pig|household appliance|secret agent|talking mouse,150000000,2009,5.1,2.35
Wrath of the Titans,99,83640426,Action|Adventure|Fantasy,ares|hades|titan|underworld|zeus,150000000,2012,5.8,1.85
Dark Shadows,113,79711678,Comedy|Fantasy|Horror,camera shot of feet|cartoon on tv|female stockinged feet|female stockinged soles|foot closeup,100000000,2012,6.2,1.85
Mission: Impossible - Rogue Nation,131,195000874,Action|Adventure|Thriller,capture|computer hacker|mission|rogue agent|spy,150000000,2015,7.4,2.35
The Wolfman,119,61937495,Drama|Fantasy|Horror|Thriller,asylum|death|full moon|transformation|werewolf,150000000,2010,5.8,1.85
The Legend of Tarzan,110,124051759,Action|Adventure|Drama|Romance,africa|capture|jungle|male objectification|tarzan,180000000,2016,6.6,2.35
Bee Movie,91,126597121,Adventure|Animation|Comedy|Family,bee|dream sequence|egg|scatological humor|squashed bug,150000000,2007,6.2,1.85
Kung Fu Panda 2,90,165230261,Action|Adventure|Animation|Comedy|Family,china|kung fu|panda|peacock|tigress,150000000,2011,7.3,2.35
The Last Airbender,103,131564731,Action|Adventure|Family|Fantasy,avatar|fire|kingdom|tribe|water,150000000,2010,4.2,2.35
Mission: Impossible III,124,133382309,Action|Adventure|Thriller,arms dealer|fictional government agency|mission|rescue|vatican,150000000,2006,6.9,2.35
White House Down,131,73103784,Action|Drama|Thriller,black u.s. president|president|secret service|tour|white house,150000000,2013,6.4,2.35
Mars Needs Moms,88,21379315,Action|Adventure|Animation|Comedy|Family|Sci-Fi,boy|martian|rescue|robot|sexism,150000000,2011,5.4,2.35
Flushed Away,85,64459316,Adventure|Animation|Comedy|Family,boat|frog|rat|sewer|toad,149000000,2006,6.7,1.85
Pan,111,34964818,Adventure|Family|Fantasy,1940s|child hero|fantasy world|orphan|reference to peter pan,150000000,2015,5.8,2.35
Mr. Peabody & Sherman,92,111505642,Adventure|Animation|Comedy|Family|Sci-Fi,dog|father son relationship|inventor|talking dog|time travel,145000000,2014,6.9,1.85
Troy,196,133228348,Adventure,greek|mythology|prince|trojan|troy,175000000,2004,7.2,2.35
Madagascar 3: Europe's Most Wanted,93,216366733,Adventure|Animation|Comedy|Family,animal|circus|island name in title|lemur|penguin,145000000,2012,6.9,1.85
Die Another Day,133,160201106,Action|Adventure|Thriller,catfight|clinic|colonel|diamond|patricide,142000000,2002,6.1,2.35
Ghostbusters,116,118099659,Action|Comedy|Fantasy|Sci-Fi,ghost|ghostbuster|ghostbusters|male objectification|reboot,144000000,2016,5.5,2.35
Armageddon,153,201573391,Action|Adventure|Sci-Fi|Thriller,asteroid|astronaut|bomb|meteorite|outer space,140000000,1998,6.6,2.35
Men in Black II,88,190418803,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,alien|lingerie|lingerie model|m.i.b.|pug,140000000,2002,6.1,1.85
Beowulf,115,82161969,Action|Adventure|Animation|Fantasy,creature|demon|king|reward|warrior,150000000,2007,6.3,2.35
Kung Fu Panda 3,95,143523463,Action|Adventure|Animation|Comedy|Family,china|kung fu|panda|pig|village,145000000,2016,7.2,2.35
Mission: Impossible - Ghost Protocol,133,209364921,Action|Adventure|Thriller,dubai|kremlin|race against time|russian|terrorist,145000000,2011,7.4,2.35
Rise of the Guardians,97,103400692,Adventure|Animation|Family|Fantasy,belief|box office hit|children|new york city|tooth,145000000,2012,7.3,1.85
Fun with Dick and Jane,90,110332737,Comedy|Crime,animal abuse|ceo|heist|suburb|unemployment,100000000,2005,6.1,2.35
The Last Samurai,154,111110575,Action|Drama|History|War,captain|emperor|honor|japan|samurai,140000000,2003,7.7,2.35
Exodus: Gods and Kings,150,65007045,Action|Adventure|Drama,egypt|exodus|moses|pharaoh|plague,140000000,2014,6.1,2.35
Star Trek,127,257704099,Action|Adventure|Sci-Fi,box office hit|future|lifted by the throat|star trek|vulcan,150000000,2009,8,2.35
Spider-Man,121,403706375,Action|Adventure|Fantasy|Romance,evil|goblin|spider|spider man|superhero,139000000,2002,7.3,1.85
How to Train Your Dragon 2,102,176997107,Action|Adventure|Animation|Comedy|Family|Fantasy,dragon|father son relationship|husband wife relationship|mother son relationship|viking,145000000,2014,7.9,2.35
Gods of Egypt,126,31141074,Action|Adventure|Fantasy,ancient egypt|egypt|egyptian|egyptian god|egyptian goddess,140000000,2016,5.5,2.35
Stealth,121,31704416,Action|Adventure|Sci-Fi|Thriller,artificial intelligence|box office flop|fighter jet|navy|pilot,135000000,2005,5,2.35
Watchmen,215,107503316,Action|Drama|Mystery|Sci-Fi,conspiracy|cynicism|false promise of the american dream|male full frontal nudity|male nudity,130000000,2009,7.7,2.35
Lethal Weapon 4,127,129734803,Action|Crime|Thriller,kung fu|lapd|martial arts|private investigator|triad,140000000,1998,6.6,2.35
Hulk,138,132122995,Action|Sci-Fi,1980s|c 130 hercules|monster|panzer|san francisco california,137000000,2003,5.7,1.85
G.I. Joe: Retaliation,122,122512052,Action|Adventure|Sci-Fi|Thriller,general|gi joe|martial arts|ninja|president,130000000,2013,5.8,2.35
Sahara,124,68642452,Action|Adventure|Comedy|Thriller,beach|civil war|desert|dictator|ship,130000000,2005,6,2.35
Final Fantasy: The Spirits Within,106,32131830,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,general|military|scientist|soldier|year 2065,137000000,2001,6.4,1.85
Captain America: The First Avenger,124,176636816,Action|Adventure|Sci-Fi,arctic|captain america|scientist|tesseract|war bond,140000000,2011,6.9,2.35
The World Is Not Enough,128,126930660,Action|Adventure|Thriller,british|oil|scientist|terrorist|tycoon,135000000,1999,6.4,2.35
Master and Commander: The Far Side of the World,138,93926386,Action|Adventure|Drama|History|War,1800s|napoleonic wars|pursuit|royal navy|ship,150000000,2003,7.4,2.35
The Twilight Saga: Breaking Dawn - Part 2,115,292298923,Adventure|Drama|Fantasy|Romance,battle|friend|super strength|vampire|vision,120000000,2012,5.5,2.35
Happy Feet 2,100,63992328,Animation|Comedy|Family|Musical,3d|antarctica|krill|penguin|sequel,135000000,2011,5.9,2.35
The Incredible Hulk,135,134518390,Action|Adventure|Sci-Fi,antidote|cure|hulk|marvel cinematic universe|opening action scene,150000000,2008,6.8,2.35
The BFG,117,52792307,Adventure|Family|Fantasy,cannibal|evil brother|giant|london england|queen,140000000,2016,6.8,2.35
The Revenant,156,183635922,Adventure|Drama|Thriller|Western,bear attack|cauterizing a wound|native american|revenge|survival,135000000,2015,8.1,2.35
Turbo,96,83024900,Adventure|Animation|Comedy|Family|Sport,accident|freak accident|race|snail|underdog,135000000,2013,6.5,2.35
Rango,107,123207194,Adventure|Animation|Comedy|Family|Western,chameleon|lizard|sheriff|water|western town,135000000,2011,7.2,2.35
Penguins of Madagascar,92,83348920,Adventure|Animation|Comedy|Family,little girl|park|spy|statue of liberty|television van,132000000,2014,6.7,1.85
The Bourne Ultimatum,115,227137090,Action|Mystery|Thriller,action hero|cia|dark past|flashback|memory,110000000,2007,8.1,2.35
Kung Fu Panda,92,215395021,Action|Adventure|Animation|Comedy|Family,kung fu|kung fu master|master|panda|snow leopard,130000000,2008,7.6,2.35
Ant-Man,117,180191634,Action|Adventure|Comedy|Sci-Fi,ant|chinatown san francisco|heist|sabotage|vault,130000000,2015,7.4,1.85
The Hunger Games: Catching Fire,146,424645577,Adventure|Sci-Fi|Thriller,president|snow|television|tour|uprising,130000000,2013,7.6,2.35
The Twilight Saga: Breaking Dawn - Part 2,115,292298923,Adventure|Drama|Fantasy|Romance,battle|friend|super strength|vampire|vision,120000000,2012,5.5,2.35
Home,94,177343675,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,alien friendship|alien invasion|australia|flying car|mother daughter relationship,135000000,2015,6.7,1.85
War of the Worlds,116,234277056,Adventure|Sci-Fi|Thriller,alien|fight|storm|survival|tripod,132000000,2005,6.5,1.85
Bad Boys II,147,138396624,Action|Comedy|Crime|Thriller,cuba|dea|drugs|money|undercover,130000000,2003,6.6,2.35
Puss in Boots,90,149234747,Action|Adventure|Animation|Comedy|Family|Fantasy,betrayal|egg|friend|goose|hero,130000000,2011,6.7,2.35
Salt,101,118311368,Action|Crime|Mystery|Thriller,cia|on the run|russian|russian spy|strong female lead,110000000,2010,6.4,2.35
Noah,138,101160529,Action|Adventure|Drama,ark|flood|noah's ark|water|wrath of god,125000000,2014,5.8,1.85
The Adventures of Tintin,107,77564037,Action|Adventure|Family|Mystery,captain|morocco|ship|tintin|treasure,135000000,2011,7.4,2.35
Harry Potter and the Prisoner of Azkaban,142,249358727,Adventure|Family|Fantasy|Mystery,magic|muggle|serial killer|traitor|wizard,130000000,2004,7.8,2.35
Australia,165,49551662,Adventure|Drama|Romance|War,australia|cattle|darwin|drover|japanese,130000000,2008,6.6,2.35
After Earth,100,60522097,Action|Adventure|Sci-Fi,box office flop|father son team|fear|race against time|real life father and son playing father and son,130000000,2013,4.9,2.35
Dinosaur,82,137748063,Adventure|Animation|Family|Thriller,egg|iguanodon|lemur|meteor|nesting grounds,127500000,2000,6.5,1.85
Night at the Museum: Secret of the Tomb,98,113733726,Adventure|Comedy|Family|Fantasy,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,127000000,2014,6.2,1.85
Megamind,95,148337537,Action|Animation|Comedy|Family|Sci-Fi,battle|city|planet|prison|superhero,130000000,2010,7.3,2.35
Harry Potter and the Sorcerer's Stone,159,317557891,Adventure|Family|Fantasy,based on novel|birthday|evil wizard|quidditch|wizard,125000000,2001,7.5,2.35
R.I.P.D.,96,33592415,Action|Comedy|Fantasy,drug dealer|gold|partner|police|undead,130000000,2013,5.6,2.35
Pirates of the Caribbean: The Curse of the Black Pearl,143,305388685,Action|Adventure|Fantasy,caribbean|curse|governor|pirate|undead,140000000,2003,8.1,2.35
The Hunger Games: Mockingjay - Part 1,123,337103873,Adventure|Sci-Fi|Thriller,based on young adult novel|manipulation|rebellion|symbol|uprising,125000000,2014,6.7,2.35
The Da Vinci Code,174,217536138,Mystery|Thriller,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,125000000,2006,6.6,2.35
Rio 2,101,131536019,Adventure|Animation|Comedy|Family|Musical,amazon|bird|father in law|jungle|no opening credits,103000000,2014,6.4,2.35
X-Men 2,134,214948780,Action|Adventure|Fantasy|Sci-Fi|Thriller,mutant|prison|professor|school|x men,110000000,2003,7.5,2.35
Fast Five,132,209805005,Action|Crime|Thriller,drug lord|drugs|federal agent|heist|police,125000000,2011,7.3,2.35
Sherlock Holmes: A Game of Shadows,129,186830669,Action|Adventure|Crime|Mystery|Thriller,factory|gypsy|investigation|sherlock holmes|train,125000000,2011,7.5,2.35
